"Track URI,""Track Name"",""Artist URI(s)"",""Artist Name(s)"",""Album URI"",""Album Name"",""Album Artist URI(s)"",""Album Artist Name(s)"",""Album Release Date"",""Album Image URL"",""Disc Number"",""Track Number"",""Track Duration (ms)"",""Track Preview URL"",""Explicit"",""Popularity"",""Added By"",""Added At"""
"spotify:track:6e40mgJiCid5HRAGrbpGA6,""I Want It That Way"",""spotify:artist:5rSXSAkZ67PYJSvpUpkOr7"",""Backstreet Boys"",""spotify:album:1NslKOZobWxINFaFkLol3r"",""The Hits--Chapter One"",""spotify:artist:5rSXSAkZ67PYJSvpUpkOr7"",""Backstreet Boys"",""2001-10-23"",""https://i.scdn.co/image/ab67616d0000b273c2f0d820b1113f9a243fb973"",""1"",""1"",""213600"",""https://p.scdn.co/mp3-preview/e72a05dc3f69c891e3390c3ceaa77fad02f6b5f6?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""75"",""spotify:user:1111631356"",""2021-04-23T08:44:34Z"""
"spotify:track:1qPbGZqppFwLwcBC1JQ6Vr,""Wonderwall"",""spotify:artist:2DaxqgrOhkeH0fpeiQq2f4"",""Oasis"",""spotify:album:2u30gztZTylY4RG7IvfXs8"",""(What's The Story) Morning Glory?"",""spotify:artist:2DaxqgrOhkeH0fpeiQq2f4"",""Oasis"",""1995-10-02"",""https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c"",""1"",""3"",""258906"",""https://p.scdn.co/mp3-preview/51fe5f9383a662f8b50caf8a0dfe1d577a43e93f?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""73"",""spotify:user:1111631356"",""2021-04-23T08:44:42Z"""
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,""...Baby One More Time"",""spotify:artist:26dSoYclwsYLMAKD3tpOr4"",""Britney Spears"",""spotify:album:3WNxdumkSMGMJRhEgK80qx"",""...Baby One More Time (Digital Deluxe Version)"",""spotify:artist:26dSoYclwsYLMAKD3tpOr4"",""Britney Spears"",""1999-01-12"",""https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02"",""1"",""1"",""211066"",""https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""79"",""spotify:user:1111631356"",""2021-04-23T08:44:51Z"""
"spotify:track:1M2nd8jNUkkwrc1dgBPTJz,""Angels"",""spotify:artist:2HcwFjNelS49kFbfvMxQYw"",""Robbie Williams"",""spotify:album:31Sx9uz9KqlvmX07Pvp0wN"",""Life Thru A Lens"",""spotify:artist:2HcwFjNelS49kFbfvMxQYw"",""Robbie Williams"",""1997-01-01"",""https://i.scdn.co/image/ab67616d0000b273c36cf94d717475042f6bb0f3"",""1"",""4"",""265000"","""",""false"",""73"",""spotify:user:1111631356"",""2021-04-23T08:44:59Z"""
"spotify:track:2374M0fQpWi3dLnB54qaLX,""Africa"",""spotify:artist:0PFtn5NtBbbUNbU9EAmIWF"",""TOTO"",""spotify:album:62U7xIHcID94o20Of5ea4D"",""Toto IV"",""spotify:artist:0PFtn5NtBbbUNbU9EAmIWF"",""TOTO"",""1982-04-08"",""https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b"",""1"",""10"",""295893"",""https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""83"",""spotify:user:1111631356"",""2021-04-23T08:45:04Z"""
"spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,""Like a Prayer"",""spotify:artist:6tbjWDEIzxoDsBA1FuhfPW"",""Madonna"",""spotify:album:43lok9zd7BW5CoYkXZs7S0"",""Celebration (double disc version)"",""spotify:artist:6tbjWDEIzxoDsBA1FuhfPW"",""Madonna"",""2009-09-18"",""https://i.scdn.co/image/ab67616d0000b2738f9f218b386e6aeb27184307"",""1"",""9"",""342680"",""https://p.scdn.co/mp3-preview/b56a70770267b00ccae13c2e8c8a34ed54627d02?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""72"",""spotify:user:1111631356"",""2021-04-23T08:45:11Z"""
"spotify:track:4eHbdreAnSOrDDsFfc4Fpm,""I Will Always Love You"",""spotify:artist:6XpaIBNiVzIetEPCWDvAFP"",""Whitney Houston"",""spotify:album:7JVJlkNNobS0GSoy4tCS96"",""The Bodyguard - Original Soundtrack Album"",""spotify:artist:6XpaIBNiVzIetEPCWDvAFP"",""Whitney Houston"",""1992-11-17"",""https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e"",""1"",""1"",""271093"",""https://p.scdn.co/mp3-preview/91e6d3e0b48cda2f3a1b2391a1c1384fbf73b8a8?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""77"",""spotify:user:1111631356"",""2021-04-23T08:45:21Z"""
"spotify:track:0gzqZ9d1jIKo9psEIthwXe,""Beautiful Day"",""spotify:artist:51Blml2LZPmy7TTiAg47vQ"",""U2"",""spotify:album:7a5U0GPoAvT3gvEY66FRuN"",""All That You Can't Leave Behind"",""spotify:artist:51Blml2LZPmy7TTiAg47vQ"",""U2"",""2000-01-01"",""https://i.scdn.co/image/ab67616d0000b27338fa0dfe55b1ff2e8c962bae"",""1"",""1"",""248400"","""",""false"",""74"",""spotify:user:1111631356"",""2021-04-23T08:45:27Z"""
"spotify:track:4w1lzcaoZ1IC2K5TwjalRP,""A Thousand Miles"",""spotify:artist:5ILrArfIV0tMURcHJN8Q07"",""Vanessa Carlton"",""spotify:album:5e7T2qUigzt0oIr50KsOld"",""Be Not Nobody"",""spotify:artist:5ILrArfIV0tMURcHJN8Q07"",""Vanessa Carlton"",""2002-04-30"",""https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e"",""1"",""3"",""237493"","""",""false"",""76"",""spotify:user:1111631356"",""2021-04-23T08:45:36Z"""
"spotify:track:4w3tQBXhn5345eUXDGBWZG,""9 to 5"",""spotify:artist:32vWCbZh0xZ4o9gkz4PsEU"",""Dolly Parton"",""spotify:album:64Ky1tqKPfwxhJs6msphWd"",""9 To 5 And Odd Jobs"",""spotify:artist:32vWCbZh0xZ4o9gkz4PsEU"",""Dolly Parton"",""1980"",""https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec"",""1"",""1"",""162466"",""https://p.scdn.co/mp3-preview/a3c584358e68ee984ac4b1f31d4a832fb46aeeb9?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""76"",""spotify:user:1111631356"",""2021-04-23T08:45:40Z"""
"spotify:track:03UrZgTINDqvnUMbbIMhql,""Gangnam Style (강남스타일)"",""spotify:artist:2dd5mrQZvg6SmahdgVKDzh"",""PSY"",""spotify:album:0ZjxizLeMyFEjR27JIvD99"",""Gangnam Style (강남스타일)"",""spotify:artist:2dd5mrQZvg6SmahdgVKDzh"",""PSY"",""2012-01-01"",""https://i.scdn.co/image/ab67616d0000b2736cfc57e5358c5e39e79bccbd"",""1"",""1"",""219493"","""",""false"",""72"",""spotify:user:1111631356"",""2021-04-23T08:45:48Z"""
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA,""Shut Up and Dance"",""spotify:artist:6DIS6PRrLS3wbnZsf7vYic"",""WALK THE MOON"",""spotify:album:3mNoFlD1wsoXfkljfFzExT"",""TALKING IS HARD"",""spotify:artist:6DIS6PRrLS3wbnZsf7vYic"",""WALK THE MOON"",""2014-12-02"",""https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3"",""1"",""3"",""199080"",""https://p.scdn.co/mp3-preview/50171ad2206e8f6b2ecad2266d353472427c358e?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""81"",""spotify:user:1111631356"",""2021-04-23T08:45:54Z"""
"spotify:track:0n4bITAu0Y0nigrz3MFJMb,""Blurred Lines"",""spotify:artist:0ZrpamOxcZybMHGg1AYtHP, spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:2RdwBSPQiwcmiDo9kixcl8"",""Robin Thicke, T.I., Pharrell Williams"",""spotify:album:1eHyfkrIOVLGVnt5E4MD2j"",""Blurred Lines (Deluxe)"",""spotify:artist:0ZrpamOxcZybMHGg1AYtHP"",""Robin Thicke"",""2013-01-01"",""https://i.scdn.co/image/ab67616d0000b273bf4733171d920f2a62b24713"",""1"",""1"",""263826"","""",""false"",""76"",""spotify:user:1111631356"",""2021-04-23T08:46:01Z"""
"spotify:track:7GJ572zvnU94VZVrj5XRtb,""Spirits"",""spotify:artist:6ujr1NkqbZpYOhquczUUfl"",""The Strumbellas"",""spotify:album:4wIE6aAQq4GL10ae7cjZZ0"",""Hope"",""spotify:artist:6ujr1NkqbZpYOhquczUUfl"",""The Strumbellas"",""2016-04-22"",""https://i.scdn.co/image/ab67616d0000b273c3f6571344b953cda21da74c"",""1"",""1"",""203653"",""https://p.scdn.co/mp3-preview/5ccd51e20a3f9b273739906123689a3989f4697e?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""74"",""spotify:user:1111631356"",""2021-04-23T08:46:09Z"""
"spotify:track:1e9oZCCiX42nJl0AcqriVo,""Watermelon Sugar"",""spotify:artist:6KImCVD70vtIoJWnq6nGn3"",""Harry Styles"",""spotify:album:659e2eKbsMH0vYCs5qgFmy"",""Watermelon Sugar"",""spotify:artist:6KImCVD70vtIoJWnq6nGn3"",""Harry Styles"",""2019-11-17"",""https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22"",""1"",""1"",""174000"",""https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""76"",""spotify:user:1111631356"",""2021-04-23T08:46:19Z"""
"spotify:track:0VjIjW4GlUZAMYd2vXMi3b,""Blinding Lights"",""spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ"",""The Weeknd"",""spotify:album:4yP0hdKOZPNshxUOjY0cZj"",""After Hours"",""spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ"",""The Weeknd"",""2020-03-20"",""https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36"",""1"",""9"",""200040"","""",""false"",""95"",""spotify:user:1111631356"",""2021-04-23T08:46:31Z"""
